date,system,flow_taf
1920-10-31,FOLS,37.900001525878906
1920-11-30,FOLS,157.39999389648438
1920-12-31,FOLS,275.1000061035156
1921-01-31,FOLS,467.7999877929688
1921-02-28,FOLS,319.70001220703125
1921-03-31,FOLS,535.2999877929688
1921-04-30,FOLS,420.8999938964844
1921-05-31,FOLS,525.4000244140625
1921-06-30,FOLS,374.7999877929688
1921-07-31,FOLS,71.0
1921-08-31,FOLS,12.300000190734863
1921-09-30,FOLS,6.300000190734863
1921-10-31,FOLS,14.199999809265137
1921-11-30,FOLS,38.79999923706055
1921-12-31,FOLS,131.0
1922-01-31,FOLS,112.6999969482422
1922-02-28,FOLS,360.1000061035156
1922-03-31,FOLS,324.6000061035156
1922-04-30,FOLS,480.2000122070313
1922-05-31,FOLS,1027.0
1922-06-30,FOLS,677.2999877929688
1922-07-31,FOLS,93.5999984741211
1922-08-31,FOLS,13.600000381469728
1922-09-30,FOLS,5.900000095367432
1922-10-31,FOLS,19.299999237060547
1922-11-30,FOLS,55.79999923706055
1922-12-31,FOLS,398.0
1923-01-31,FOLS,275.0
1923-02-28,FOLS,182.8000030517578
1923-03-31,FOLS,224.5
1923-04-30,FOLS,564.2000122070312
1923-05-31,FOLS,615.9000244140625
1923-06-30,FOLS,283.3999938964844
1923-07-31,FOLS,96.6999969482422
1923-08-31,FOLS,17.5
1923-09-30,FOLS,17.5
1923-10-31,FOLS,23.200000762939453
1923-11-30,FOLS,21.100000381469727
1923-12-31,FOLS,26.799999237060547
1924-01-31,FOLS,41.900001525878906
1924-02-29,FOLS,112.0999984741211
1924-03-31,FOLS,57.900001525878906
1924-04-30,FOLS,123.0
1924-05-31,FOLS,104.5
1924-06-30,FOLS,26.299999237060547
1924-07-31,FOLS,3.5
1924-08-31,FOLS,0.800000011920929
1924-09-30,FOLS,2.299999952316284
1924-10-31,FOLS,13.300000190734863
1924-11-30,FOLS,57.29999923706055
1924-12-31,FOLS,85.9000015258789
1925-01-31,FOLS,87.19999694824219
1925-02-28,FOLS,598.2999877929688
1925-03-31,FOLS,311.70001220703125
1925-04-30,FOLS,599.9000244140625
1925-05-31,FOLS,612.9000244140625
1925-06-30,FOLS,272.8999938964844
1925-07-31,FOLS,60.09999847412109
1925-08-31,FOLS,11.100000381469728
1925-09-30,FOLS,6.5
1925-10-31,FOLS,20.100000381469727
1925-11-30,FOLS,32.79999923706055
1925-12-31,FOLS,53.70000076293945
1926-01-31,FOLS,48.09999847412109
1926-02-28,FOLS,260.5
1926-03-31,FOLS,199.6999969482422
1926-04-30,FOLS,479.2999877929688
1926-05-31,FOLS,212.1999969482422
1926-06-30,FOLS,66.30000305175781
1926-07-31,FOLS,12.600000381469728
1926-08-31,FOLS,0.0
1926-09-30,FOLS,1.2000000476837158
1926-10-31,FOLS,13.199999809265137
1926-11-30,FOLS,180.5
1926-12-31,FOLS,141.5
1927-01-31,FOLS,222.3999938964844
1927-02-28,FOLS,774.5
1927-03-31,FOLS,446.7999877929688
1927-04-30,FOLS,727.9000244140625
1927-05-31,FOLS,616.5
1927-06-30,FOLS,431.7999877929688
1927-07-31,FOLS,74.5999984741211
1927-08-31,FOLS,13.399999618530272
1927-09-30,FOLS,9.100000381469728
1927-10-31,FOLS,17.399999618530273
1927-11-30,FOLS,113.4000015258789
1927-12-31,FOLS,99.0999984741211
1928-01-31,FOLS,108.5
1928-02-29,FOLS,138.3000030517578
1928-03-31,FOLS,988.5
1928-04-30,FOLS,536.0
1928-05-31,FOLS,395.6000061035156
1928-06-30,FOLS,97.5
1928-07-31,FOLS,19.700000762939453
1928-08-31,FOLS,4.400000095367432
1928-09-30,FOLS,2.400000095367432
1928-10-31,FOLS,11.600000381469728
1928-11-30,FOLS,27.5
1928-12-31,FOLS,38.29999923706055
1929-01-31,FOLS,41.70000076293945
1929-02-28,FOLS,98.8000030517578
1929-03-31,FOLS,148.1999969482422
1929-04-30,FOLS,211.0
1929-05-31,FOLS,357.6000061035156
1929-06-30,FOLS,179.6999969482422
1929-07-31,FOLS,30.399999618530277
1929-08-31,FOLS,1.600000023841858
1929-09-30,FOLS,1.0
1929-10-31,FOLS,11.300000190734863
1929-11-30,FOLS,11.800000190734863
1929-12-31,FOLS,162.0
1930-01-31,FOLS,144.0
1930-02-28,FOLS,151.0
1930-03-31,FOLS,328.0
1930-04-30,FOLS,357.0
1930-05-31,FOLS,285.0
1930-06-30,FOLS,160.0
1930-07-31,FOLS,27.200000762939453
1930-08-31,FOLS,6.840000152587891
1930-09-30,FOLS,8.050000190734863
1930-10-31,FOLS,16.799999237060547
1930-11-30,FOLS,34.099998474121094
1930-12-31,FOLS,21.0
1931-01-31,FOLS,57.0
1931-02-28,FOLS,75.4000015258789
1931-03-31,FOLS,139.8000030517578
1931-04-30,FOLS,172.89999389648438
1931-05-31,FOLS,135.60000610351562
1931-06-30,FOLS,47.29999923706055
1931-07-31,FOLS,8.100000381469727
1931-08-31,FOLS,3.0
1931-09-30,FOLS,4.199999809265137
1931-10-31,FOLS,16.0
1931-11-30,FOLS,30.299999237060547
1931-12-31,FOLS,165.0
1932-01-31,FOLS,161.10000610351562
1932-02-29,FOLS,319.6000061035156
1932-03-31,FOLS,298.0
1932-04-30,FOLS,402.5
1932-05-31,FOLS,659.0
1932-06-30,FOLS,425.7999877929688
1932-07-31,FOLS,92.5
1932-08-31,FOLS,16.799999237060547
1932-09-30,FOLS,8.600000381469727
1932-10-31,FOLS,10.899999618530272
1932-11-30,FOLS,14.100000381469728
1932-12-31,FOLS,23.299999237060547
1933-01-31,FOLS,42.900001525878906
1933-02-28,FOLS,46.70000076293945
1933-03-31,FOLS,135.0
1933-04-30,FOLS,239.0
1933-05-31,FOLS,354.0
1933-06-30,FOLS,342.0
1933-07-31,FOLS,42.20000076293945
1933-08-31,FOLS,9.600000381469728
1933-09-30,FOLS,9.199999809265137
1933-10-31,FOLS,21.5
1933-11-30,FOLS,33.79999923706055
1933-12-31,FOLS,108.3000030517578
1934-01-31,FOLS,159.10000610351562
1934-02-28,FOLS,171.39999389648438
1934-03-31,FOLS,255.3999938964844
1934-04-30,FOLS,195.8999938964844
1934-05-31,FOLS,105.6999969482422
1934-06-30,FOLS,48.70000076293945
1934-07-31,FOLS,11.399999618530272
1934-08-31,FOLS,6.5
1934-09-30,FOLS,6.300000190734863
1934-10-31,FOLS,10.699999809265137
1934-11-30,FOLS,59.09999847412109
1934-12-31,FOLS,53.79999923706055
1935-01-31,FOLS,156.10000610351562
1935-02-28,FOLS,147.8000030517578
1935-03-31,FOLS,213.0
1935-04-30,FOLS,818.0
1935-05-31,FOLS,667.9000244140625
1935-06-30,FOLS,359.6000061035156
1935-07-31,FOLS,69.5
1935-08-31,FOLS,16.5
1935-09-30,FOLS,11.100000381469728
1935-10-31,FOLS,21.299999237060547
1935-11-30,FOLS,30.200000762939453
1935-12-31,FOLS,34.29999923706055
1936-01-31,FOLS,408.1000061035156
1936-02-29,FOLS,775.4000244140625
1936-03-31,FOLS,431.8999938964844
1936-04-30,FOLS,635.7999877929688
1936-05-31,FOLS,587.0
1936-06-30,FOLS,357.70001220703125
1936-07-31,FOLS,83.30000305175781
1936-08-31,FOLS,17.700000762939453
1936-09-30,FOLS,13.899999618530272
1936-10-31,FOLS,10.5
1936-11-30,FOLS,14.5
1936-12-31,FOLS,23.0
1937-01-31,FOLS,44.20000076293945
1937-02-28,FOLS,336.29998779296875
1937-03-31,FOLS,395.6000061035156
1937-04-30,FOLS,502.5
1937-05-31,FOLS,688.0
1937-06-30,FOLS,234.3000030517578
1937-07-31,FOLS,52.0
1937-08-31,FOLS,14.800000190734863
1937-09-30,FOLS,12.0
1937-10-31,FOLS,20.299999237060547
1937-11-30,FOLS,53.5
1937-12-31,FOLS,436.3999938964844
1938-01-31,FOLS,129.6999969482422
1938-02-28,FOLS,538.7999877929688
1938-03-31,FOLS,806.0
1938-04-30,FOLS,732.0
1938-05-31,FOLS,1010.7000122070312
1938-06-30,FOLS,598.7999877929688
1938-07-31,FOLS,133.60000610351562
1938-08-31,FOLS,30.799999237060547
1938-09-30,FOLS,20.299999237060547
1938-10-31,FOLS,29.799999237060547
1938-11-30,FOLS,40.59999847412109
1938-12-31,FOLS,44.400001525878906
1939-01-31,FOLS,49.900001525878906
1939-02-28,FOLS,69.80000305175781
1939-03-31,FOLS,221.5
1939-04-30,FOLS,326.0
1939-05-31,FOLS,175.3000030517578
1939-06-30,FOLS,56.900001525878906
1939-07-31,FOLS,14.5
1939-08-31,FOLS,5.5
1939-09-30,FOLS,11.5
1939-10-31,FOLS,27.709999084472656
1939-11-30,FOLS,19.309999465942383
1939-12-31,FOLS,28.21999931335449
1940-01-31,FOLS,468.1499938964844
1940-02-29,FOLS,611.4199829101562
1940-03-31,FOLS,846.8099975585938
1940-04-30,FOLS,628.4299926757812
1940-05-31,FOLS,511.4200134277344
1940-06-30,FOLS,198.69000244140625
1940-07-31,FOLS,39.959999084472656
1940-08-31,FOLS,12.510000228881836
1940-09-30,FOLS,13.699999809265137
1940-10-31,FOLS,15.199999809265137
1940-11-30,FOLS,43.79999923706055
1940-12-31,FOLS,249.0
1941-01-31,FOLS,345.3999938964844
1941-02-28,FOLS,472.5
1941-03-31,FOLS,449.0
1941-04-30,FOLS,444.5
1941-05-31,FOLS,719.5999755859375
1941-06-30,FOLS,282.3999938964844
1941-07-31,FOLS,84.5
1941-08-31,FOLS,22.600000381469727
1941-09-30,FOLS,16.700000762939453
1941-10-31,FOLS,17.799999237060547
1941-11-30,FOLS,48.79999923706055
1941-12-31,FOLS,324.5
1942-01-31,FOLS,582.7000122070312
1942-02-28,FOLS,553.7000122070312
1942-03-31,FOLS,285.5
1942-04-30,FOLS,626.0999755859375
