basin,key,lat,lon,soil_chi,veg_frac_obs,lai_obs_mean
uf_02,38.40625_-122.15625,38.40625,-122.15625,2.499525027143794,0.3499999940395355,1.5653971
uf_02,38.40625_-122.21875,38.40625,-122.21875,2.4936548090832042,0.47999998927116394,2.183548
uf_02,38.40625_-122.28125,38.40625,-122.28125,2.496260935974868,0.23000000417232513,1.1852657
uf_02,38.46875_-122.09375,38.46875,-122.09375,2.49980397994221,0.33000001311302185,1.4978398
uf_02,38.46875_-122.15625,38.46875,-122.15625,2.4999999995087427,0.3700000047683716,1.5389036
uf_02,38.46875_-122.21875,38.46875,-122.21875,2.499993075224111,0.3499999940395355,1.3136861
uf_02,38.46875_-122.28125,38.46875,-122.28125,2.49999986235156,0.4300000071525574,2.7354438
uf_02,38.53125_-122.09375,38.53125,-122.09375,2.4998966146951944,0.3400000035762787,1.0607218
uf_02,38.53125_-122.15625,38.53125,-122.15625,2.493902327477814,0.3400000035762787,0.6367
uf_02,38.53125_-122.21875,38.53125,-122.21875,2.4860435176410274,0.36000001430511475,1.0716529
uf_02,38.53125_-122.28125,38.53125,-122.28125,2.4999970629005333,0.3100000023841858,1.5227257
uf_02,38.53125_-122.34375,38.53125,-122.34375,2.4945493268164665,0.4699999988079071,1.5935187
uf_02,38.53125_-122.40625,38.53125,-122.40625,2.373228188192509,0.4399999976158142,2.018899
uf_02,38.59375_-122.09375,38.59375,-122.09375,2.4999996994723848,0.23000000417232513,1.183992
uf_02,38.59375_-122.15625,38.59375,-122.15625,2.4975028500676046,0.2800000011920929,1.2959713
uf_02,38.59375_-122.21875,38.59375,-122.21875,2.4999987972805835,0.0,1.0768697
uf_02,38.59375_-122.28125,38.59375,-122.28125,2.4999985337908086,0.23999999463558197,1.0768697
uf_02,38.59375_-122.34375,38.59375,-122.34375,2.4715233964485934,0.4000000059604645,1.1055616
uf_02,38.59375_-122.40625,38.59375,-122.40625,2.4959580468662725,0.4300000071525574,1.5973252
uf_02,38.59375_-122.46875,38.59375,-122.46875,2.449261635089716,0.23000000417232513,1.3265574
uf_02,38.59375_-122.53125,38.59375,-122.53125,2.4991844567977894,0.33000001311302185,1.8320192
uf_02,38.65625_-122.15625,38.65625,-122.15625,2.499832280333366,0.4099999964237213,1.2676638
uf_02,38.65625_-122.21875,38.65625,-122.21875,2.497129779151523,0.3400000035762787,0.9881964
uf_02,38.65625_-122.28125,38.65625,-122.28125,2.4999646074256816,0.20999999344348907,0.6117737
uf_02,38.65625_-122.34375,38.65625,-122.34375,2.4999998099445975,0.3100000023841858,0.87644464
uf_02,38.65625_-122.40625,38.65625,-122.40625,2.499202817657327,0.36000001430511475,1.0650246
uf_02,38.65625_-122.46875,38.65625,-122.46875,2.498914899014059,0.4399999976158142,1.1574564
uf_02,38.65625_-122.53125,38.65625,-122.53125,2.4999783131934707,0.3199999928474426,1.524409
uf_02,38.65625_-122.59375,38.65625,-122.59375,2.4999999999104987,0.75,3.183613
uf_02,38.65625_-122.65625,38.65625,-122.65625,2.499983844555792,0.4399999976158142,2.9134102
uf_02,38.71875_-122.21875,38.71875,-122.21875,2.4994958277682464,0.3799999952316284,1.1512666
uf_02,38.71875_-122.28125,38.71875,-122.28125,2.4971429682299595,0.3499999940395355,0.9880219
uf_02,38.71875_-122.34375,38.71875,-122.34375,2.497796457332776,0.41999998688697815,0.7403271
uf_02,38.71875_-122.40625,38.71875,-122.40625,2.4999911400692243,0.23000000417232513,0.9417267
uf_02,38.71875_-122.46875,38.71875,-122.46875,2.4852378131134203,0.25999999046325684,1.0151092
uf_02,38.71875_-122.53125,38.71875,-122.53125,2.488396866640972,0.49000000953674316,1.0655565
uf_02,38.71875_-122.59375,38.71875,-122.59375,2.4999830696428704,0.4300000071525574,1.517538
uf_02,38.71875_-122.65625,38.71875,-122.65625,2.4999999341994923,0.550000011920929,2.7978806
uf_02,38.71875_-122.71875,38.71875,-122.71875,2.448660130706979,0.5,1.6740663
uf_02,38.78125_-122.21875,38.78125,-122.21875,2.498905387549242,0.36000001430511475,1.1399066
uf_02,38.78125_-122.28125,38.78125,-122.28125,2.499999996981238,0.0,1.030182
uf_02,38.78125_-122.34375,38.78125,-122.34375,2.4983147732525524,0.5600000023841858,1.2299048
